player_id,player_name,minutes
27174.0,Willer Emilio Ditta Pérez,4953
29597.0,Jaine Stiven Barreiro Solis,4538
29078.0,José Luis Caicedo Barrera,4491
43622.0,Erik Antonio Lira Méndez,4453
359504.0,Eduardo Águila Castro,4428
33126.0,Israel Reyes Romero,4417
27153.0,Javier Ignacio Aquino Carmona,4399
33097.0,Salvador Reyes Chávez,4290
26774.0,Rodrigo Dourado Cunha,4281
29051.0,Jorge Agustín Rodríguez,4269
26329.0,Marcel Alejandro Ruiz Suárez,4253
44068.0,Nathanael Ananias da Silva,4232
28873.0,Gonzalo Rubén Piovi,4153
26345.0,John Stefan Medina Ramírez,4152
48924.0,Bryan Alonso González Olivan,4128
27896.0,Gerardo Daniel Arteaga Zamora,4066
136926.0,Pablo Bennevendo Peña,4010
37360.0,Andrés Federico Pereira Castelnoble,3918
6612.0,Rubén Duarte Sánchez,3756
4418.0,Matheus Dória Macedo,3744
26406.0,Jorge Eduardo Sánchez Ramos,3702
122902.0,Joaquim Henrique Pereira Silva,3629
26324.0,Aldo Paul Rocha González,3613
26289.0,Javier Güemez López,3561
26386.0,Luis Francisco Romo Barrón,3554
36167.0,Ramón Juárez Del Castillo,3531
30726.0,José Javier Abella Fanjul,3505
111731.0,Jesús Gilberto Orozco Chiquete,3450
30024.0,Jesús Alejandro Gómez Molina,3402
25097.0,Gustavo Henrique Ferrareis,3285
32916.0,Diego Eduardo De Buen Juárez,3270
28423.0,Jesús Alberto Angulo Uriarte,3264
35036.0,Efraín Orona Zavala,3246
27902.0,Manuel Alejandro Mayorga Almaráz,3227
27967.0,Unai Bilbao Arteta,3224
43477.0,Bryan Colula Alarcón,3218
28425.0,Hugo Martín Nervo,3184
28538.0,José Ignacio Rivero Segade,3182
42479.0,Guilherme Castilho Carvalho,3159
330534.0,Ralph Orquin,3152
47213.0,José Castillo Pérez,3144
274864.0,Paul Bellón Saracho,3121
48870.0,Moises Castillo Mosquera,3076
31312.0,Aldo Jafid Cruz Sánchez,3037
23428.0,Cristian Alexis Borja González,3034
34581.0,Sergio Damián Barreto,3031
33113.0,Facundo Ezequiel Almada,3014
25135.0,Luan Garcia Teixeira,3009
274998.0,Diego Campillo Del Campo,2979
15872.0,Érick Gabriel Gutiérrez Galaviz,2954
26361.0,Jordan Steeven Sierra Flores,2915
26268.0,Alexis Francisco Peña López,2914
296106.0,Rafael Eduardo Fernández Inzunza,2827
34347.0,Ángel Jeremy Márquez Castañeda,2820
37916.0,Agustín Oliveros Cano,2809
26312.0,Cristian Yonathan Calderón Del Real,2805
122925.0,Eduardo Gabriel dos Santos Bauermann,2799
28540.0,Omar Israel Mendoza Martín,2746
31315.0,Gilberto Sepúlveda López,2742
35690.0,Sebastián Enzo Cáceres Ramos,2729
52290.0,Daniel Alonso Aceves Patiño,2710
26258.0,Brayan Alexis Angulo León,2696
31750.0,Robert Ismael Ergas Moreno,2694
43553.0,Emanuel Gularte Méndez,2648
43476.0,Victor Andrés Guzmán Olmedo,2644
26341.0,Fernando Rubén González Pineda,2626
50649.0,Bruno Amione,2625
25502.0,Bruno Méndez Cittadini,2617
30635.0,Francisco Eduardo Venegas Moreno,2607
25596.0,Franco Matías Russo Panos,2603
130953.0,Nelson Alexander Deossa Suárez,2581
6715.0,Guido Hernán Pizarro,2555
35738.0,Rodrigo Eduardo Echeverría Sáez,2544
404015.0,Víctor Hugo Ríos de Alba,2515
276020.0,José Raúl Zúñiga Murillo,2507
51969.0,Jackson Gabriel Porozo Vernaza,2447
41777.0,Emilio Lara Contreras,2421
31462.0,José Iván Rodríguez Rebollar,2418
30572.0,Federico Eduardo Lértora,2413
198802.0,Pedro Pedraza Reyna,2387
31975.0,Lucas Gabriel Merolla,2375
412577.0,Emmanuel Ricardo Echeverría Mata,2351
26332.0,Luis Enrique Quiñónes,2325
28766.0,Luis Ricardo Reyes Moreno,2302
32979.0,Fidel Daniel Ambríz González,2283
75131.0,Gaddi Axel Aguirre Ledesma,2281
234320.0,Nicolas Fonseca,2272
27948.0,Kevin Rafael Escamilla Moreno,2261
23263.0,Lisandro Magallán,2220
28560.0,Jair Alberto Díaz Vázquez,2188
131162.0,José Juan García Manríquez,2169
28419.0,Diego Armando Barbosa Zaragoza,2154
29265.0,Alan Jhosué Cervantes Martín del Campo,2143
87600.0,José María Canale Domínguez,2076
275842.0,Aaron Mejía Montoya,2072
52104.0,Franco Agustín Romero,2000
26327.0,Julio César Domínguez Juárez,1989
26354.0,Edson Antonio Gutiérrez Moreno,1937
5985.0,Jesús Manuel Corona Ruíz,1917
5573.0,Héctor Alfredo Moreno Herrera,1905
37539.0,Romulo Zanre Zwarg,1894
5738.0,Anderson Santamaría Bardales,1876
16539.0,Diego Antonio Reyes Rosales,1874
27354.0,Kevin Alexander Balanta Lucumí,1856
424910.0,Juan Manuel Fedorco,1852
399885.0,Jose Rodrigo Pachuca Martinez,1842
36144.0,Nicolás Andrés Díaz Huincales,1841
5201.0,Sergio Ramos García,1788
26317.0,Adrián Mora Barraza,1776
32713.0,Juan José Sánchez Purata,1743
337616.0,Óscar Gibram Manzanarez Pérez,1737
23899.0,Frank Boya,1718
50551.0,Luis Gustavo Sánchez Saucedo,1707
27860.0,Franco David Moyano,1682
27234.0,Christian Hernando Rivera Cuéllar,1676
99579.0,Salvador Mariscal,1613
6357.0,Jonathan dos Santos Ramírez,1587
28562.0,Luis Alfonso Rodríguez Alanís,1555
275585.0,Miguel Alonso García Álvarez,1545
34261.0,Jesús Andrés Rivas Gutiérrez,1511
427772.0,Jonathan Geovanni Pérez Sánchez,1406
30701.0,José Joaquín Esquivel Martínez,1403
415002.0,Dagoberto Espinoza Acosta,1400
35545.0,Adonis Uriel Frías,1370
43309.0,Alán Isidro Montes Castro,1357
10570.0,Antonio Briseño Vázquez,1345
34361.0,Óscar Haret Ortega Gatica,1309
27306.0,Jesús David Murillo Largacha,1296
11388.0,Néstor Alejandro Araújo Razo,1240
399872.0,Jorge Ernesto Berlanga Vázquez,1237
35037.0,Miguel Ángel Tapias Dávila,1231
5564.0,Carlos Joel Salcedo Hernández,1227
189420.0,Johan Rojas Echavarría,1218
43327.0,José David Ramírez García,1203
6794.0,Gustavo Daniel Cabral Cáceres,1197
75948.0,Luis Gabriel Rey Mejía,1190
28480.0,Tomás Oscar Badaloni,1182
29521.0,Claudio Andrés Baeza Baeza,1138
123360.0,Santiago Damián Homenchenko Bianchi,1112
228470.0,Everardo López,1060
337757.0,Miguel Ángel Vázquez García,968
30945.0,Ismael Govea Solorzano,968
463885.0,Ángel Amhed Azuaje García,892
57938.0,Emilio Martínez González,882
159151.0,Santiago Núñez,851
27897.0,Ulises Rivas Gilio,813
276113.0,Fernando Monárrez Ochoa,795
28434.0,Sebastián Ignacio Vegas Orellana,781
406600.0,Ramiro Franco Zambrano,764
147298.0,Tomás Jacob,743
399978.0,Pablo Nicolás Ortíz Orozco,743
28170.0,Jesús Alonso Escoboza Lugo,733
206302.0,Miguel Alejandro Gómez Ortiz,715
43308.0,Jesús Alberto Alcantar Rodríguez,703
7794.0,Samir Caetano de Souza Santos,703
6572.0,Juan Pedro Ramírez López,665
44850.0,Jhojan Esmaides  Julio Palacios,656
422917.0,Martín Río,616
275853.0,Daniel Moisés Guillén Moreno,615
34373.0,Jonathan Ezequiel Perlaza Leiva,607
280913.0,Sebastián Olmedo Pereira,599
274994.0,Raúl Alejandro Martínez Ruiz,581
29237.0,Robson Alves de Barros,579
386286.0,Norman Andres Micolta Arroyo,557
44984.0,Alejandro  Andrade Rivera,553
26330.0,Vladimir Eduardo Loroña Aguilar,542
360095.0,Sergio Adrián Hernández Hernández,538
77115.0,Jorge Alejandro Rodríguez Hernández,528
239906.0,Leonardo Flores,526
483481.0,Santiago Sandoval González,508
37878.0,Diego Javier Medina Vázquez,492
30538.0,Richard Ledezma,491
26256.0,Igor Lichnovsky Osorio,490
34730.0,Mauricio Isais,479
45016.0,Francisco Contreras Báez,474
