M̩trica,Ramos_por90,Promedio_CBs_por90,Diferencia,Z_Score
pass_switch,5.083892617449664,1.4211708458158518,3.6627217716338123,4.526578640928886
shot_aerial_won,0.7046979865771812,0.19115171631337266,0.5135462702638085,3.1036495749349053
pass_length,1659.398154362416,1039.7799030343951,619.618251328021,2.68247376143881
z,2.0340604026845637,0.6011980747935793,1.4328623278909842,2.6126855616687426
shot_gk_positioning_xg_suppression,0.05482738484395974,0.007821516082942383,0.04700586876101736,2.5930889558378682
shot_shot_execution_xg,0.2694593720637584,0.060350726733732964,0.20910864533002546,2.491540052751346
pass_pass_cluster_id,1916.4261744966443,1270.4831611339307,645.9430133627136,2.383838385044011
shot_gk_save_difficulty_xg,0.2614480722684564,0.06282819845956561,0.1986198738088908,2.1975400011016615
pass_pass_success_probability,58.07756501837416,39.464105792663574,18.613459225710585,2.1194948215345146
shot_statsbomb_xg,0.23247704386912754,0.06568801102633946,0.16678903284278807,2.0772119761122068
pass_pass_cluster_probability,51.38827477951007,36.103017160283784,15.285257619226286,2.008223847637084
duration,211.25989932885906,157.2154646741406,54.04443465471846,1.5929774945421697
obv_against_before,1.5296427174614093,1.2082203127838749,0.32142240467753447,1.5557909016695772
shot_shot_execution_xg_uplift,0.036982328214765096,-0.0053372842925706035,0.0423196125073357,1.5127913028308257
obv_against_after,1.447573215739933,1.1502075143611628,0.2973657013787703,1.4784295559652123
clearance_aerial_won,1.1073825503355705,0.5996421845643224,0.5077403657712481,1.425570236451682
pass_through_ball,0.2516778523489933,0.12379690038844106,0.12788095196055227,1.378855900282077
shot_first_time,0.5536912751677853,0.25422203148374295,0.2994692436840423,1.3177088381267257
obv_for_before,2.0037592175738252,1.5572564590379678,0.4465027585358574,1.014842376493186
obv_for_after,2.101790801229866,1.6413001745825964,0.4604906266472695,0.9726484844706721
clearance_head,2.4161073825503356,1.6226269791773182,0.7934804033730174,0.9598819894072124
off_camera,2.7684563758389262,2.235881788232341,0.532574587606585,0.7442202025548685
obv_total_net,0.17959443571308725,0.14126341258818736,0.03833102312489989,0.421858685285421
pass_angle,12.633633825503354,1.5306031246591512,11.103030700844203,0.3890633523442046
foul_won_defensive,0.40268456375838924,0.32932657075619104,0.0733579930021982,0.3545989517853308
clearance_right_foot,1.0570469798657718,0.8893068030237592,0.1677401768420126,0.2983186282682731
shot_gk_shot_stopping_xg_suppression,0.00977021991946309,-0.0032733759356234258,0.013043595855086517,0.2721439125180694
obv_for_net,0.10125402571812081,0.08823389466309477,0.013020131055026044,0.16971984112688432
shot_shot_shot_assist,0.050335570469798654,0.04579842371865517,0.0045371467511434865,0.16101249525164327
x,8208.156040268457,8190.080268728793,18.075771539663947,0.006127759657438809
foul_won_penalty,0.050335570469798654,0.05567234196927874,-0.005336771499480086,-0.12898990856996387
foul_committed_advantage,0.15100671140939598,0.17385209395621531,-0.022845382546819337,-0.21953803536154556
y,5662.474832214765,6284.78681347264,-622.3119812578743,-0.21989888081840825
shot_deflected,0.050335570469798654,0.06801638967540385,-0.0176808192056052,-0.26602356430609037
out,2.466442953020134,2.7956333158480144,-0.3291903628278803,-0.3602990378197358
miscontrol_aerial_won,0.050335570469798654,0.08173199402478624,-0.03139642355498759,-0.36864658110037285
obv_against_net,-0.0783404098238255,-0.05302951791135145,-0.025310891912474043,-0.4861573898927633
pass_aerial_won,0.6543624161073825,0.9243118451975424,-0.26994942909015984,-0.5024978342994372
pass_recipient_id,2851122.130872483,3721047.4897066164,-869925.3588341335,-0.5063726190184329
pass_xclaim,0.0102871919295302,0.04898080972426812,-0.038693617794737914,-0.5294718195627046
under_pressure,22.701342281879192,28.63158907286804,-5.930246790988846,-0.5524246351570584
clearance_left_foot,0.3523489932885906,0.6740215151505076,-0.32167252186191697,-0.6014938219210736
pass_cross,0.10067114093959731,0.9130744659061278,-0.8124033249665306,-0.7329710708904007
foul_won_advantage,0.050335570469798654,0.13598809209494467,-0.08565252162514601,-0.7344348130958029
pass_shot_assist,0.15100671140939598,0.5294142280183382,-0.3784075166089422,-0.823176618317585
substitution_outcome_id,10.318791946308725,37.351913820907704,-27.03312187459898,-0.8907362131841389
substitution_replacement_id,3699.6140939597312,46760.88570422626,-43061.27161026653,-0.9232601253686932
ball_recovery_recovery_failure,0.15100671140939598,0.35259915471305237,-0.2015924433036564,-1.0211506580552885
Unnamed: 0,50887810.0671141,75140413.08192198,-24252603.01480788,-1.1166545946732742
counterpress,1.459731543624161,4.800476673417211,-3.3407451297930497,-1.36422714683037
