M̩trica,Ramos,Promedio_global,Diferencia,Z_Score
shot_gk_positioning_xg_suppression_sum,1.0892373789,0.03198811910637037,1.0572492597936296,2.7636313587041093
z_sum,40.41,8.670577777777776,31.73942222222222,2.2204432538884347
shot_gk_positioning_xg_suppression_mean,0.04189374534230769,0.004917331453663259,0.036976413888644435,1.5358718491164902
z_mean,1.347,0.5650853063152784,0.7819146936847216,1.3257445026009014
shot_gk_save_difficulty_xg_mean,0.51941017024,0.2708358905252675,0.2485742797147325,1.303297523095317
shot_statsbomb_xg_mean,0.15395146460666667,0.08725381794577973,0.06669764666088694,1.2395210655772435
shot_shot_execution_xg_mean,0.17844198416666668,0.08414720404194315,0.09429478012472353,1.2023598105016122
pass_length_sum,32966.71,13771.743081481482,19194.96691851852,1.1999241592773735
pass_pass_success_probability_mean,0.8787567593539223,0.7993914085684874,0.07936535078543483,1.1757712018391762
pass_pass_cluster_id_sum,38073.0,16717.17777777778,21355.82222222222,1.1669448140269927
shot_shot_execution_xg_uplift_sum,0.7347155872,0.008080043566814812,0.7266355436331852,1.1606359030545221
pass_pass_success_probability_sum,1153.8076250317,506.2598278153436,647.5477972163562,1.1536977046094414
shot_shot_execution_xg_sum,5.353259525,1.7388710694124445,3.614388455587556,1.1269179917096928
duration_mean,1.5567618694362018,1.2275984048191564,0.3291634646170454,1.1039666688220133
pass_pass_cluster_probability_sum,1020.9137256196,478.1042047634859,542.8095208561141,1.0419462595961937
shot_gk_save_difficulty_xg_sum,5.1941017024,1.7819186868352592,3.4121830155647412,1.0139790640753277
shot_statsbomb_xg_sum,4.6185439382,1.730791025848889,2.887752912351111,0.9640359522985934
duration_sum,4197.03,2183.936179487407,2013.0938205125926,0.8688515051068978
pass_length_mean,25.0506914893617,20.69385581309814,4.356835676263561,0.7077988773718742
obv_against_before_sum,30.3889019869,16.847438833225482,13.541463153674517,0.704275048599409
obv_against_after_sum,28.7584545527,16.547192401173483,12.211262151526519,0.6306567447208125
obv_for_before_sum,39.8080164558,23.91986713067111,15.88814932512889,0.6249054888304111
obv_for_after_sum,41.7555772511,25.427994315571258,16.327582935528742,0.5967047018937247
minute_sum,158340.0,103459.06370370371,54880.93629629629,0.5455655542232801
shot_shot_execution_xg_uplift_mean,0.02449051957333333,-0.003106613903343285,0.027597133476676618,0.5340012565045303
obv_total_net_sum,3.5679427895,1.9339162016991112,1.6340265878008888,0.5318253258018618
pass_angle_sum,250.988192,3.347977383703707,247.6402146162963,0.4812886974911859
pass_pass_cluster_id_mean,30.704032258064515,29.2786717508263,1.4253605072382136,0.3867530508320297
pass_angle_mean,0.19072051063829787,0.006506910791199213,0.18421359984709865,0.31096058624037587
shot_gk_shot_stopping_xg_suppression_sum,0.19410170240000008,-0.08474797983140742,0.2788496822314075,0.30552670441620605
x_sum,163068.7,128946.67496296295,34122.02503703706,0.24659932420186934
y_sum,112494.5,89328.92370370371,23165.57629629629,0.23327403716589212
pass_recipient_id_sum,56642293.0,45129084.08444444,11513208.91555556,0.2253103021463577
obv_for_net_sum,2.0115799776,1.5757277661503704,0.4358522114496295,0.1735808074543798
obv_total_net_mean,0.001456303179387755,0.0006708885660658044,0.0007854146133219506,0.15096054748334725
pass_xclaim_mean,0.0408744426,0.03676460028644911,0.004109842313550889,0.1320950321287866
shot_gk_shot_stopping_xg_suppression_mean,0.019410170240000007,-0.007149455686804459,0.026559625926804466,0.13156091322782376
obv_for_net_mean,0.0008210530520816326,0.000822749015982452,-1.6959639008194216e-06,-0.000509352645720533
Unnamed: 0_sum,1010971160.0,1083801666.68,-72830506.68000007,-0.06689685038628408
obv_against_before_mean,0.012373331427890879,0.013300323962650261,-0.0009269925347593824,-0.14607137545550855
obv_against_net_mean,-0.0006352501259183673,0.00015985728250441015,-0.0007951074084227775,-0.19783510342748845
obv_against_after_mean,0.011738144715387755,0.013599124017470338,-0.0018609793020825834,-0.21028008758449016
pass_pass_cluster_probability_mean,0.8233175206609677,0.8379087654259244,-0.014591244764956657,-0.3607091587336771
pass_xclaim_sum,0.204372213,1.1000789451447606,-0.8957067321447606,-0.4164615990895889
obv_for_before_mean,0.016208475755618894,0.019895381449662713,-0.0036869056940438197,-0.4772401407580052
obv_for_after_mean,0.01704309275555102,0.020730350237529633,-0.0036872574819786126,-0.5151219711472912
substitution_outcome_id_sum,205.0,627.3481481481482,-422.3481481481482,-0.6138559327435146
minute_mean,42.167776298268976,52.613000223758334,-10.445223925489358,-0.6755658891793518
y_mean,30.07070302058273,40.45850154648996,-10.387798525907233,-0.70580079224782
substitution_replacement_id_sum,73499.0,740231.6148148148,-666732.6148148148,-0.7073514682064724
x_mean,43.58960171077253,58.84923787422468,-15.25963616345215,-0.8186013785659373
obv_against_net_sum,-1.5563628084999999,-0.35057161805185194,-1.205791190448148,-0.8355020088708851
pass_recipient_id_mean,46088.11472742067,93233.47525928573,-47145.36053186506,-0.9226300846931405
substitution_replacement_id_mean,36749.5,124854.14369911102,-88104.64369911102,-1.0043809150393301
Unnamed: 0_mean,269233.33155792276,488144.50578536035,-218911.1742274376,-1.495055893977878
substitution_outcome_id_mean,102.5,102.90114918134744,-0.40114918134743505,-2.013612332434867
