team_name,player_name,player_full_name,GM,Min,Age,player_position,games_by_team,minutes_played_by_team,minutes_played_percentage,total_gross_salary,signed,contract_expiration,season,transfer_window,club_id_tmkt,player_id,transfer_price,contract_length_years,player_annual_fee,player_annual_cost,team_total_salary,team_total_fees,team_total_cost,player_annual_cost_percentage
Puebla,R. Marín,Ricardo Marín,26,1776,27,Centre Forward,26,2340,0.76,530000.0,28-01-2025,30-06-2026,,,,,,1.0,,530000,11000000.0,7816667,18816667,0.028
Pumas UNAM,G. Martínez,Guillermo Martínez,26,1768,30,Centre Forward,32,2880,0.61,880000.0,01-01-2024,31-12-2026,,,,,,2.0,,880000,12860000.0,5755000,18615000,0.047
Toluca,B. Méndez,Bruno Méndez,25,1764,26,Right Centre Back,34,3060,0.58,1500000.0,09-07-2024,30-06-2027,,,,,,3.0,,1500000,25380000.0,25421667,50801667,0.03
León,J. Rodríguez,James Rodríguez,23,1754,34,Centre Attacking Midfielder,28,2520,0.7,5750000.0,13-01-2025,31-12-2025,,,,,,0.0,,5750000,18000000.0,10275833,28275833,0.203
Guadalajara,R. Alvarado,Roberto Alvarado,22,1751,27,Right Attacking Midfielder,30,2700,0.65,3130000.0,12-09-2024,30-06-2029,,,,,,5.0,,3130000,27200000.0,22351667,49551667,0.063
Mazatlán,J. Sierra,Jordan Sierra,24,1749,28,Central Midfielder,25,2250,0.78,700000.0,01-07-2024,30-06-2027,24/25,Verano europeo,82696.0,332829.0,2000000.0,3.0,666667.0,1366667,9710000.0,1747917,11457917,0.119
Necaxa,D. de Buen,Diego de Buen,24,1746,34,Central Midfielder,29,2610,0.67,610000.0,17-01-2025,30-06-2026,24/25,Invierno europeo,1146.0,102708.0,800000.0,1.0,800000.0,1410000,8700000.0,6121867,14821867,0.095
Monterrey,L. Ocampos,Lucas Ocampos,33,1726,31,Left Attacking Midfielder,36,3240,0.53,5000000.0,03-09-2024,30-06-2027,24/25,Verano europeo,2407.0,189441.0,7250000.0,3.0,2416667.0,7416667,47650000.0,10834167,61864167,0.12
Juárez,Guilherme Castilho,Guilherme Castilho,23,1725,26,Central Midfielder,28,2520,0.68,400000.0,11-02-2025,30-06-2026,24/25,Invierno europeo,49283.0,726005.0,1450000.0,1.0,1450000.0,1850000,12850000.0,5433333,18283333,0.101
Atlas,Matheus Dória,Matheus Dória,20,1722,31,Left Centre Back,25,2250,0.77,,,,,,,,,,,0,10890000.0,6566667,17456667,0.0
Pachuca,P. Pedraza,Pedro Pedraza,27,1716,25,Defensive Midfielder,32,2880,0.6,440000.0,02-01-2024,31-12-2027,,,,,,3.0,,440000,18330000.0,0,18330000,0.024
Club América,B. Rodríguez,Brian Rodríguez,29,1709,25,Left Midfielder,35,3150,0.54,1500000.0,21-10-2025,30-06-2029,,,,,,4.0,,1500000,39090000.0,25266667,64356667,0.023
Tigres UANL,O. Herrera,Ozziel Herrera,27,1691,24,Left Attacking Midfielder,37,3330,0.51,380000.0,24-07-2023,30-06-2027,,,,,,4.0,,380000,36450000.0,10285834,46735834,0.008
Querétaro,L. Rodríguez,Lucas Rodríguez,22,1658,28,Right Midfielder,22,1980,0.84,880000.0,03-07-2024,30-06-2026,24/25,Verano europeo,4961.0,380996.0,3000000.0,2.0,1500000.0,2380000,11550000.0,8850000,20400000,0.117
Guadalajara,G. Sepúlveda,Gilberto Sepúlveda,22,1656,26,Central Defender,30,2700,0.61,1330000.0,12-06-2024,30-06-2028,,,,,,4.0,,1330000,27200000.0,22351667,49551667,0.027
Cruz Azul,M. Bogusz,Mateusz Bogusz,31,1656,24,Left Midfielder,35,3150,0.53,2400000.0,25-01-2025,31-12-2026,24/25,Invierno europeo,3711.0,431475.0,8500000.0,1.0,8500000.0,10900000,23380000.0,28637500,52017500,0.21
Tijuana,A. Preciado,Adonis Preciado,24,1652,28,Centre Forward,26,2340,0.71,560000.0,03-07-2025,30-06-2026,,,,,,1.0,,560000,11350000.0,11783333,23133333,0.024
Monterrey,J. Corona,Jesús Corona,27,1639,32,Left Attacking Midfielder,36,3240,0.51,2880000.0,01-09-2023,30-06-2026,,,,,,3.0,,2880000,47650000.0,10834167,61864167,0.047
Guadalajara,José Castillo Pérez,José Castillo Pérez,21,1632,23,Left Centre Back,30,2700,0.6,350000.0,01-01-2024,30-06-2026,,,,,,2.0,,350000,27200000.0,22351667,49551667,0.007
Atlas,R. Lozano,Rivaldo Lozano,21,1619,27,Left Wing Back,25,2250,0.72,,,,,,,,,,,0,10890000.0,6566667,17456667,0.0
Toluca,H. González,Hugo González,18,1618,35,Goalkeeper,34,3060,0.53,600000.0,07-07-2025,30-06-2026,,,,,,1.0,,600000,25380000.0,25421667,50801667,0.012
Atlas,D. González,Diego González,23,1605,22,Right Midfielder,25,2250,0.71,210000.0,02-01-2025,31-12-2025,,,,,,0.0,,210000,10890000.0,6566667,17456667,0.012
Atlético San Luis,Miguel García,Miguel García,26,1605,24,Right Centre Back,26,2340,0.69,230000.0,02-01-2025,30-06-2026,24/25,Invierno europeo,40188.0,1027076.0,700000.0,1.0,700000.0,930000,8040000.0,1600000,9640000,0.096
Juárez,R. Pizarro,Rodolfo Pizarro,25,1598,31,Central Midfielder,28,2520,0.63,800000.0,01-01-2026,30-06-2026,,,,,,0.0,,800000,12850000.0,5433333,18283333,0.044
Pumas UNAM,P. Vite,Pedro Vite,21,1597,23,Right Attacking Midfielder,32,2880,0.55,880000.0,18-07-2025,18-07-2029,25/26,Verano europeo,7633.0,659806.0,3800000.0,4.0,950000.0,1830000,12860000.0,5755000,18615000,0.098
Tijuana,I. Tona,Iván Tona,23,1592,25,Central Midfielder,26,2340,0.68,300000.0,01-07-2023,30-06-2026,,,,,,3.0,,300000,11350000.0,11783333,23133333,0.013
Tigres UANL,Á. Correa,Ángel Correa,20,1590,30,Centre Forward,37,3330,0.48,4600000.0,09-07-2025,30-06-2030,25/26,Verano europeo,7055.0,266807.0,8000000.0,5.0,1600000.0,6200000,36450000.0,10285834,46735834,0.133
Pachuca,S. Barreto,Sergio Barreto,18,1583,26,Left Centre Back,32,2880,0.55,560000.0,01-07-2023,30-06-2027,,,,,,4.0,,560000,18330000.0,0,18330000,0.031
Pumas UNAM,S. Trigos,Santiago Trigos,24,1583,23,Defensive Midfielder,32,2880,0.55,110000.0,01-07-2023,30-06-2026,,,,,,3.0,,110000,12860000.0,5755000,18615000,0.006
Puebla,J. González,Julio González,18,1575,34,Goalkeeper,26,2340,0.67,530000.0,28-01-2025,31-12-2027,24/25,Invierno europeo,5662.0,158327.0,1000000.0,2.0,500000.0,1030000,11000000.0,7816667,18816667,0.055
Atlas,G. Aguirre,Gaddi Aguirre,19,1567,29,Right Centre Back,25,2250,0.7,190000.0,30-06-2021,30-06-2026,,,,,,5.0,,190000,10890000.0,6566667,17456667,0.011
Atlas,A. Rocha,Aldo Rocha,19,1547,33,Central Midfielder,25,2250,0.69,800000.0,01-01-2021,30-06-2026,,,,,,5.0,,800000,10890000.0,6566667,17456667,0.046
León,F. Beltrán,Fernando Beltrán,26,1544,27,Central Midfielder,28,2520,0.61,1340000.0,01-07-2025,30-06-2026,25/26,Verano europeo,4941.0,549294.0,2600000.0,1.0,2600000.0,3940000,18000000.0,10275833,28275833,0.139
Club América,R. Zúñiga,Raúl Zúñiga,24,1541,31,Centre Forward,35,3150,0.49,1400000.0,13-07-2025,30-06-2026,25/26,Verano europeo,3631.0,690681.0,2500000.0,1.0,2500000.0,3900000,39090000.0,25266667,64356667,0.061
Monterrey,V. Guzmán,Víctor Guzmán,22,1534,23,Right Centre Back,36,3240,0.47,1150000.0,27-07-2024,30-06-2028,,,,,,4.0,,1150000,47650000.0,10834167,61864167,0.019
Tijuana,A. Vega,Alan Vega,22,1530,25,Left Back,26,2340,0.65,230000.0,01-07-2023,30-06-2026,,,,,,3.0,,230000,11350000.0,11783333,23133333,0.01
Tigres UANL,J. Garza,Jesús Garza,23,1528,25,Left Back,37,3330,0.46,650000.0,01-07-2022,30-06-2026,,,,,,4.0,,650000,36450000.0,10285834,46735834,0.014
Pachuca,A. Bautista,Alán Bautista,27,1513,23,Centre Attacking Midfielder,32,2880,0.53,110000.0,01-07-2023,30-06-2026,,,,,,3.0,,110000,18330000.0,0,18330000,0.006
Guadalajara,Efraín Álvarez,Efraín Álvarez,24,1504,23,Right Attacking Midfielder,30,2700,0.56,1500000.0,01-07-2025,30-06-2026,25/26,Verano europeo,6711.0,504113.0,6850000.0,1.0,6850000.0,8350000,27200000.0,22351667,49551667,0.169
Mazatlán,L. Merolla,Lucas Merolla,21,1502,30,Left Centre Back,25,2250,0.67,340000.0,01-07-2023,30-06-2026,,,,,,3.0,,340000,9710000.0,1747917,11457917,0.03
Mazatlán,B. Colula,Bryan Colula,23,1502,29,Right Back,25,2250,0.67,500000.0,19-04-2024,30-06-2027,,,,,,3.0,,500000,9710000.0,1747917,11457917,0.044
Pachuca,O. Idrissi,Oussama Idrissi,23,1497,29,Left Attacking Midfielder,32,2880,0.52,1150000.0,26-02-2025,30-06-2028,,,,,,3.0,,1150000,18330000.0,0,18330000,0.063
Necaxa,C. Calderón,Cristian Calderón,25,1497,28,Left Back,29,2610,0.57,1060000.0,03-07-2025,30-06-2026,,,,,,1.0,,1060000,8700000.0,6121867,14821867,0.072
Santos Laguna,R. Sordo,Ramiro Sordo,23,1495,25,Left Attacking Midfielder,24,2160,0.69,310000.0,18-01-2024,31-12-2027,,,,,,3.0,,310000,9150000.0,3645833,12795833,0.024
Monterrey,N. Deossa,Nelson Deossa,20,1488,25,Central Midfielder,36,3240,0.46,,,,,,,,,,,0,47650000.0,10834167,61864167,0.0
Pachuca,J. Cádiz,Jhonder Cádiz,24,1487,30,Centre Forward,32,2880,0.52,700000.0,,30-06-2027,,,,,,,,700000,18330000.0,0,18330000,0.038
León,S. Santos,Sebastián Santos,22,1467,22,Right Back,28,2520,0.58,90000.0,01-07-2024,30-06-2026,,,,,,2.0,,90000,18000000.0,10275833,28275833,0.003
Atlas,V. Ríos,Víctor Ríos,18,1465,21,Right Centre Back,25,2250,0.65,90000.0,01-01-2024,30-06-2026,,,,,,2.0,,90000,10890000.0,6566667,17456667,0.005
Toluca,L. García,Luis García,17,1442,32,Goalkeeper,34,3060,0.47,110000.0,01-07-2017,30-06-2026,,,,,,9.0,,110000,25380000.0,25421667,50801667,0.002
Santos Laguna,Fran Villalba,Fran Villalba,23,1441,27,Centre Attacking Midfielder,24,2160,0.67,880000.0,07-07-2024,30-06-2027,24/25,Verano europeo,1403.0,311680.0,1000000.0,3.0,333333.0,1213333,9150000.0,3645833,12795833,0.095
Tijuana,R. Fernández,Rafael Fernández,17,1441,25,Right Back,26,2340,0.62,310000.0,07-07-2025,30-06-2026,,,,,,1.0,,310000,11350000.0,11783333,23133333,0.013
Pumas UNAM,Á. Padilla,Álex Padilla,16,1440,22,Goalkeeper,32,2880,0.5,,,,,,,,,,,0,12860000.0,5755000,18615000,0.0
Querétaro,R. Bogarín,Rodrigo Bogarín,20,1436,28,Central Midfielder,22,1980,0.73,430000.0,07-01-2025,31-12-2025,,,,,,0.0,,430000,11550000.0,8850000,20400000,0.021
Pachuca,S. Rondón,Salomón Rondón,16,1432,36,Centre Forward,32,2880,0.5,,,,,,,,,,,0,18330000.0,0,18330000,0.0
Puebla,E. Orona,Efraín Orona,20,1417,26,Left Centre Back,26,2340,0.61,230000.0,01-07-2023,30-06-2026,,,,,,3.0,,230000,11000000.0,7816667,18816667,0.012
Querétaro,F. Venegas,Francisco Venegas,22,1412,27,Left Back,22,1980,0.71,700000.0,01-07-2024,30-06-2026,24/25,Verano europeo,4961.0,400208.0,1000000.0,2.0,500000.0,1200000,11550000.0,8850000,20400000,0.059
Monterrey,F. Ambríz,Fidel Ambríz,29,1411,22,Defensive Midfielder,36,3240,0.44,1500000.0,27-08-2024,30-06-2028,24/25,Verano europeo,2407.0,723240.0,6670000.0,4.0,1667500.0,3167500,47650000.0,10834167,61864167,0.051
Necaxa,D. Cambindo,Diber Cambindo,21,1390,29,Centre Forward,29,2610,0.53,750000.0,07-01-2025,31-12-2027,24/25,Invierno europeo,1146.0,650861.0,3900000.0,2.0,1950000.0,2700000,8700000.0,6121867,14821867,0.182
Juárez,J. García,José García,19,1386,29,Left Centre Back,28,2520,0.55,380000.0,16-07-2021,30-06-2026,,,,,,5.0,,380000,12850000.0,5433333,18283333,0.021
Tijuana,G. Mora,Gilberto Mora,22,1365,17,Central Midfielder,26,2340,0.58,110000.0,01-07-2024,30-06-2026,,,,,,2.0,,110000,11350000.0,11783333,23133333,0.005
Puebla,F. Moyano,Franco Moyano,19,1350,28,Central Midfielder,26,2340,0.58,680000.0,17-01-2025,31-12-2025,,,,,,0.0,,680000,11000000.0,7816667,18816667,0.036
León,R. Funes Mori,Rogelio Funes Mori,28,1342,34,Centre Forward,28,2520,0.53,1150000.0,24-07-2025,31-07-2026,,,,,,1.0,,1150000,18000000.0,10275833,28275833,0.041
Querétaro,J. Gómez,Jaime Gómez,19,1339,32,Right Back,22,1980,0.68,340000.0,01-07-2023,30-06-2026,,,,,,3.0,,340000,11550000.0,8850000,20400000,0.017
Puebla,N. Díaz,Nicolás Díaz,16,1337,26,Left Centre Back,26,2340,0.57,710000.0,01-07-2025,31-12-2025,,,,,,0.0,,710000,11000000.0,7816667,18816667,0.038
Tijuana,Unai Bilbao,Unai Bilbao,19,1324,31,Left Centre Back,26,2340,0.57,700000.0,01-07-2024,30-06-2027,24/25,Verano europeo,13353.0,175445.0,2800000.0,3.0,933333.0,1633333,11350000.0,11783333,23133333,0.071
Atlético San Luis,João Pedro,João Pedro,15,1320,33,Centre Forward,26,2340,0.56,880000.0,01-07-2025,30-06-2026,,,,,,1.0,,880000,8040000.0,1600000,9640000,0.091
Toluca,J. Domínguez,Juan Domínguez,30,1310,27,Right Attacking Midfielder,34,3060,0.43,340000.0,17-04-2024,31-12-2028,,,,,,4.0,,340000,25380000.0,25421667,50801667,0.007
Atlas,E. Aguirre,Eduardo Aguirre,20,1302,27,Centre Forward,25,2250,0.58,700000.0,01-07-2024,30-06-2026,24/25,Verano europeo,8590.0,400171.0,2000000.0,2.0,1000000.0,1700000,10890000.0,6566667,17456667,0.097
Santos Laguna,B. Amione,Bruno Amione,16,1298,23,Left Back,24,2160,0.6,440000.0,01-02-2024,30-06-2026,,,,,,2.0,,440000,9150000.0,3645833,12795833,0.034
Juárez,Ó. Estupiñán,Óscar Estupiñán,20,1296,28,Centre Forward,28,2520,0.51,1500000.0,29-08-2024,30-06-2027,24/25,Verano europeo,49283.0,388266.0,1000000.0,3.0,333333.0,1833333,12850000.0,5433333,18283333,0.1
Santos Laguna,E. Echeverría,Emmanuel Echeverría,21,1281,22,Left Back,24,2160,0.59,90000.0,01-07-2024,30-06-2026,,,,,,2.0,,90000,9150000.0,3645833,12795833,0.007
Necaxa,P. Pérez,Pável Pérez,25,1276,27,Left Attacking Midfielder,29,2610,0.49,610000.0,02-01-2025,30-06-2026,24/25,Invierno europeo,1146.0,786000.0,1000000.0,1.0,1000000.0,1610000,8700000.0,6121867,14821867,0.109
Necaxa,J. Rojas,Johan Rojas,26,1276,23,Left Midfielder,29,2610,0.49,440000.0,03-07-2025,31-12-2025,,,,,,0.0,,440000,8700000.0,6121867,14821867,0.03
Necaxa,T. Badaloni,Tomás Badaloni,24,1273,25,Centre Forward,29,2610,0.49,380000.0,31-07-2024,30-06-2029,24/25,Verano europeo,1146.0,568546.0,916000.0,5.0,183200.0,563200,8700000.0,6121867,14821867,0.038
Cruz Azul,G. Fernández,Gabriel Fernández,24,1272,31,Centre Forward,35,3150,0.4,1590000.0,01-01-2024,30-06-2026,,,,,,2.0,,1590000,23380000.0,28637500,52017500,0.031
Cruz Azul,L. Romero,Luka Romero,30,1265,20,Central Midfielder,35,3150,0.4,1330000.0,18-01-2025,30-06-2030,24/25,Invierno europeo,3711.0,769063.0,3200000.0,5.0,640000.0,1970000,23380000.0,28637500,52017500,0.038
Pachuca,L. Quiñones,Luis Quiñones,19,1264,34,Centre Attacking Midfielder,32,2880,0.44,880000.0,01-07-2025,30-06-2026,,,,,,1.0,,880000,18330000.0,0,18330000,0.048
Tijuana,K. Escamilla,Kevin Escamilla,21,1261,31,Central Midfielder,26,2340,0.54,350000.0,29-08-2025,30-06-2026,25/26,Verano europeo,13353.0,51546.0,800000.0,1.0,800000.0,1150000,11350000.0,11783333,23133333,0.05
Monterrey,E. Andrada,Esteban Andrada,14,1260,34,Goalkeeper,36,3240,0.39,,,,,,,,,,,0,47650000.0,10834167,61864167,0.0
Mazatlán,R. Gutiérrez,Ricardo Gutiérrez,14,1260,28,Goalkeeper,25,2250,0.56,310000.0,23-08-2023,30-06-2026,,,,,,3.0,,310000,9710000.0,1747917,11457917,0.027
Querétaro,Ó. Manzanárez,Óscar Manzanárez,14,1243,30,Left Centre Back,22,1980,0.63,340000.0,01-07-2023,30-06-2026,,,,,,3.0,,340000,11550000.0,8850000,20400000,0.017
Santos Laguna,É. Gutiérrez,Édson Gutiérrez,18,1235,29,Right Centre Back,24,2160,0.57,610000.0,02-02-2025,30-06-2026,24/25,Invierno europeo,1403.0,270145.0,600000.0,1.0,600000.0,1210000,9150000.0,3645833,12795833,0.095
Pumas UNAM,P. Monroy,Pablo Monroy,22,1234,23,Right Back,32,2880,0.43,110000.0,01-07-2023,30-06-2026,,,,,,3.0,,110000,12860000.0,5755000,18615000,0.006
Querétaro,S. Homenchenko,Santiago Homenchenko,22,1224,22,Left Centre Back,22,1980,0.62,350000.0,09-08-2025,30-06-2026,,,,,,1.0,,350000,11550000.0,8850000,20400000,0.017
Tijuana,R. Árciga,Ramiro Árciga,22,1223,21,Right Midfielder,26,2340,0.52,230000.0,01-01-2025,30-06-2026,24/25,Invierno europeo,13353.0,1087349.0,1000000.0,1.0,1000000.0,1230000,11350000.0,11783333,23133333,0.053
Santos Laguna,C. Dájome,Cristian Dájome,22,1215,31,Right Attacking Midfielder,24,2160,0.56,880000.0,02-01-2025,30-06-2026,,,,,,1.0,,880000,9150000.0,3645833,12795833,0.069
Monterrey,I. Fimbres,Iker Fimbres,23,1214,20,Central Midfielder,36,3240,0.37,110000.0,01-01-2025,30-06-2026,,,,,,1.0,,110000,47650000.0,10834167,61864167,0.002
Santos Laguna,K. Balanta,Kevin Balanta,14,1205,28,Left Centre Back,24,2160,0.56,580000.0,01-07-2025,01-07-2026,,,,,,1.0,,580000,9150000.0,3645833,12795833,0.045
Querétaro,O. Mendoza,Omar Mendoza,17,1191,37,Right Back,22,1980,0.6,440000.0,01-01-2021,30-06-2026,,,,,,5.0,,440000,11550000.0,8850000,20400000,0.022
Juárez,Á. Zaldívar,Ángel Zaldívar,27,1189,31,Centre Forward,28,2520,0.47,610000.0,12-12-2024,31-12-2025,,,,,,1.0,,610000,12850000.0,5433333,18283333,0.033
Monterrey,S. Mele,Santiago Mele,13,1170,28,Goalkeeper,36,3240,0.36,1260000.0,11-06-2025,30-06-2029,24/25,Verano europeo,2407.0,320739.0,3000000.0,4.0,750000.0,2010000,47650000.0,10834167,61864167,0.032
Necaxa,E. Lara,Emilio Lara,13,1170,23,Right Centre Back,29,2610,0.45,150000.0,01-07-2025,30-06-2026,,,,,,1.0,,150000,8700000.0,6121867,14821867,0.01
Pumas UNAM,K. Navas,Keylor Navas,13,1169,38,Goalkeeper,32,2880,0.41,2000000.0,21-07-2025,30-06-2026,25/26,Verano europeo,7633.0,79422.0,1630000.0,1.0,1630000.0,3630000,12860000.0,5755000,18615000,0.195
Club América,V. Dávila,Víctor Dávila,28,1165,28,Centre Forward,35,3150,0.37,1880000.0,15-09-2024,30-06-2027,24/25,Verano europeo,3631.0,366143.0,7500000.0,3.0,2500000.0,4380000,39090000.0,25266667,64356667,0.068
Guadalajara,É. Gutiérrez,Érick Gutiérrez,17,1165,30,Central Midfielder,30,2700,0.43,1150000.0,02-07-2023,30-06-2027,,,,,,4.0,,1150000,27200000.0,22351667,49551667,0.023
León,I. Moreno,Iván Moreno,25,1164,27,Right Back,28,2520,0.46,190000.0,01-07-2023,30-06-2026,,,,,,3.0,,190000,18000000.0,10275833,28275833,0.007
Club América,R. Aguirre,Rodrigo Aguirre,29,1158,31,Centre Forward,35,3150,0.37,2500000.0,18-07-2024,30-06-2027,24/25,Verano europeo,3631.0,189410.0,2700000.0,3.0,900000.0,3400000,39090000.0,25266667,64356667,0.053
Club América,A. Gutiérrez,Alexis Gutiérrez,22,1158,25,Central Midfielder,35,3150,0.37,800000.0,25-06-2025,30-06-2026,25/26,Verano europeo,3631.0,371171.0,4300000.0,1.0,4300000.0,5100000,39090000.0,25266667,64356667,0.079
Puebla,A. Organista,Alejandro Organista,16,1148,25,Central Midfielder,26,2340,0.49,380000.0,06-07-2025,30-06-2026,,,,,,1.0,,380000,11000000.0,7816667,18816667,0.02
Juárez,H. Martínez,Homer Martínez,13,1142,28,Central Midfielder,28,2520,0.45,530000.0,23-07-2025,30-06-2028,25/26,Verano europeo,49283.0,656344.0,750000.0,3.0,250000.0,780000,12850000.0,5433333,18283333,0.043
Club América,R. Orquin,Ralph Orquin,14,1137,22,Left Back,35,3150,0.36,380000.0,01-07-2023,30-06-2026,,,,,,3.0,,380000,39090000.0,25266667,64356667,0.006
Pumas UNAM,R. Ergas,Robert Ergas,14,1131,27,Left Back,32,2880,0.39,,,,,,,,,,,0,12860000.0,5755000,18615000,0.0
