team_name,player_name,minutes_played_percentage,player_annual_cost_percentage,talent_cost_utilization_per_player
Toluca,Pau López,0.26,0.0,0.0
Atlético San Luis,M. Klimowicz,0.34,0.029,0.00986
Atlas,M. Nervo,0.35,0.0,0.0
Juárez,D. Villalpando,0.32,0.024,0.00768
Toluca,Helinho,0.26,0.158,0.04108
Puebla,M. Ramírez,0.34,0.011,0.00374
Puebla,E. Lozano,0.34,0.01,0.0034000000000000002
Tijuana,A. Mejía,0.34,0.006,0.00204
Tijuana,S. Nicholson,0.33,0.103,0.03399
Guadalajara,C. Cowell,0.28,0.03,0.008400000000000001
Guadalajara,A. Mozo,0.28,0.03,0.008400000000000001
Guadalajara,R. Ledezma,0.28,0.025,0.007000000000000001
Querétaro,E. Armenta,0.39,0.042,0.016380000000000002
Pumas UNAM,R. López,0.26,0.01,0.0026000000000000003
León,A. Frías,0.3,0.0,0.0
Atlas,G. del Prete,0.33,0.16,0.05280000000000001
Mazatlán,Y. Bárcenas,0.33,0.046,0.01518
Tigres UANL,S. Córdova,0.22,0.027,0.00594
Santos Laguna,J. Carrillo,0.34,0.009,0.00306
Pachuca,Kenedy,0.25,0.13,0.0325
Pumas UNAM,L. Suárez,0.25,0.0,0.0
Querétaro,F. Russo,0.36,0.0,0.0
Querétaro,P. Barrera,0.36,0.04,0.0144
Puebla,E. Guerra,0.31,0.032,0.00992
Querétaro,D. Reyes,0.36,0.034,0.012240000000000001
Atlas,S. Hernández,0.31,0.0,0.0
Atlético San Luis,Yan Phillipe,0.3,0.009,0.0026999999999999997
León,D. Ramírez,0.27,0.006,0.0016200000000000001
Necaxa,F. Rossano,0.26,0.014,0.00364
Tigres UANL,U. Antuna,0.2,0.106,0.0212
Puebla,B. Angulo León,0.29,0.0,0.0
Toluca,A. Briseño,0.22,0.031,0.00682
Pumas UNAM,A. Medina,0.23,0.019,0.00437
Santos Laguna,S. Mariscal,0.31,0.007,0.00217
León,I. Díaz,0.26,0.025,0.006500000000000001
Guadalajara,S. Sandoval,0.24,0.002,0.00048
Guadalajara,H. Camberos,0.24,0.002,0.00048
Tigres UANL,I. López,0.2,0.009,0.0018
Tigres UANL,Rafael Carioca,0.19,0.0,0.0
Club América,D. Espinoza,0.2,0.003,0.0006000000000000001
Juárez,R. Fulgencio,0.25,0.07,0.0175
Monterrey,R. de la Rosa,0.2,0.039,0.0078000000000000005
Atlas,A. González,0.28,0.189,0.05292000000000001
Querétaro,A. Pérez,0.32,0.005,0.0016
Tigres UANL,M. Farfan,0.19,0.063,0.01197
Club América,I. Violante,0.2,0.035,0.007000000000000001
León,Á. Estrada,0.25,0.006,0.0015
Mazatlán,O. Moreno,0.28,0.0,0.0
Santos Laguna,K. Palacios,0.29,0.066,0.01914
Atlas,P. Ramírez,0.27,0.006,0.0016200000000000001
Guadalajara,J. Hernández,0.22,0.101,0.02222
Club América,D. Valdés,0.19,0.0,0.0
Mazatlán,M. Laínez,0.27,0.074,0.01998
Querétaro,R. Cisneros,0.3,0.0,0.0
Pachuca,J. Berlanga,0.21,0.005,0.00105
Guadalajara,O. Govea,0.22,0.027,0.00594
Santos Laguna,A. Ocejo,0.27,0.0,0.0
Mazatlán,A. Torres,0.26,0.061,0.01586
Juárez,Ricardinho,0.23,0.024,0.005520000000000001
Mazatlán,J. Hernández,0.25,0.0,0.0
Atlas,C. Orrantía,0.25,0.048,0.012
Mazatlán,J. Intriago,0.25,0.086,0.0215
Tijuana,P. Ortíz,0.24,0.01,0.0024
León,A. Guardado,0.22,0.0,0.0
Guadalajara,R. Martínez,0.2,0.002,0.0004
Mazatlán,S. Rodríguez,0.24,0.011,0.0026399999999999996
Querétaro,C. Villanueva,0.27,0.034,0.00918
Mazatlán,Samir,0.24,0.0,0.0
León,A. Blanco,0.21,0.015,0.0031499999999999996
Querétaro,José Hernández,0.27,0.015,0.00405
Querétaro,J. Canale,0.27,0.0,0.0
Atlético San Luis,Robson Bambu,0.23,0.124,0.02852
Guadalajara,D. Aguirre,0.2,0.009,0.0018
Monterrey,G. Sánchez,0.17,0.006,0.00102
Mazatlán,S. Fierro,0.24,0.027,0.00648
Atlas,Róber Pier,0.24,0.046,0.01104
Club América,I. Lichnovsky,0.17,0.031,0.00527
Pumas UNAM,L. Magallán,0.18,0.0,0.0
Monterrey,H. Moreno,0.16,0.026,0.00416
Necaxa,A. Andrade,0.2,0.006,0.0012000000000000001
Santos Laguna,I. Govea,0.24,0.0,0.0
Puebla,F. Waller,0.21,0.0,0.0
Club América,R. Cota,0.16,0.012,0.00192
Puebla,E. Gularte,0.21,0.0,0.0
Puebla,J. Rodríguez,0.21,0.003,0.00063
Santos Laguna,J. Pérez,0.23,0.0,0.0
Atlas,M. García,0.22,0.039,0.00858
Pachuca,J. Sigala,0.17,0.0,0.0
Mazatlán,R. Meráz,0.22,0.0,0.0
Mazatlán,L. Amarilla,0.21,0.0,0.0
Querétaro,A. Ávila,0.24,0.07,0.016800000000000002
Atlético San Luis,J. Domínguez,0.2,0.102,0.0204
Mazatlán,A. Herrera,0.21,0.022,0.00462
Querétaro,F. Lértora,0.23,0.071,0.01633
Atlas,Jorge Rodríguez,0.2,0.0,0.0
Mazatlán,Dudu Teodora,0.2,0.033,0.006600000000000001
Santos Laguna,S. Muñóz,0.21,0.0,0.0
Tigres UANL,V. Loroña,0.13,0.011,0.00143
Tigres UANL,A. Gignac,0.13,0.113,0.014690000000000002
Atlético San Luis,J. Suárez,0.19,0.009,0.00171
León,V. Gauthier,0.17,0.019,0.0032300000000000002
Cruz Azul,A. Montaño,0.14,0.037,0.005180000000000001
León,E. Rigoni,0.17,0.0,0.0
León,E. Rodríguez,0.17,0.013,0.00221
Tijuana,R. Franco,0.18,0.005,0.0009
Necaxa,Raúl Sánchez,0.16,0.097,0.01552
Mazatlán,M. Zaleta,0.19,0.01,0.0019
Atlético San Luis,Léo Bonatini,0.18,0.032,0.0057599999999999995
Atlético San Luis,S. Pérez Bouquet,0.18,0.088,0.01584
León,E. Ayón,0.16,0.035,0.005600000000000001
Cruz Azul,O. Campos,0.13,0.093,0.01209
Toluca,S. Simón,0.13,0.032,0.0041600000000000005
Guadalajara,Y. Padilla,0.15,0.002,0.0003
Querétaro,J. Piñuelas,0.2,0.0,0.0
Atlas,M. Cóccaro,0.18,0.053,0.00954
Pachuca,G. Togni,0.14,0.022,0.0030800000000000003
Querétaro,J. Robles,0.19,0.0,0.0
Necaxa,A. Oliveros,0.15,0.051,0.007649999999999999
Club América,A. Saint-Maximin,0.12,0.161,0.01932
Querétaro,F. González,0.19,0.027,0.00513
Pachuca,E. Valencia,0.13,0.082,0.010660000000000001
Tijuana,M. El Ghezouani,0.16,0.099,0.01584
Necaxa,J. Alcántar,0.14,0.007,0.0009800000000000002
Querétaro,J. Colmán,0.18,0.0,0.0
Puebla,M. Jiménez,0.15,0.0,0.0
Puebla,E. Navarro,0.15,0.0,0.0
Tigres UANL,J. Vigón,0.1,0.024,0.0024000000000000002
Mazatlán,J. García,0.15,0.036,0.005399999999999999
Mazatlán,G. Adame,0.15,0.008,0.0012
Querétaro,Jesús Hernández,0.16,0.015,0.0024
Puebla,P. González,0.14,0.055,0.007700000000000001
Pachuca,I. Hernández,0.11,0.006,0.00066
Cruz Azul,A. Morales,0.1,0.004,0.0004
Cruz Azul,G. Giakoumakis,0.1,0.0,0.0
Mazatlán,Á. Leyva,0.14,0.01,0.0014000000000000002
Santos Laguna,A. Lozano,0.14,0.195,0.027300000000000005
Atlas,L. Flores,0.13,0.0,0.0
Puebla,I. Moreno,0.12,0.005,0.0006
Mazatlán,I. González,0.13,0.0,0.0
Necaxa,E. Martínez,0.11,0.009,0.00099
Atlas,A. Ramírez,0.12,0.009,0.0010799999999999998
Santos Laguna,A. Santamaría,0.12,0.0,0.0
Tigres UANL,G. Pizarro Demestri,0.08,0.0,0.0
Santos Laguna,D. Medina,0.12,0.015,0.0018
Necaxa,A. Palma,0.1,0.0,0.0
Pachuca,J. López,0.09,0.059,0.00531
Juárez,F. Nevárez,0.1,0.013,0.0013
Atlético San Luis,D. Abitia,0.11,0.0,0.0
Tijuana,Joe Corona,0.11,0.015,0.00165
Guadalajara,T. Wilke,0.09,0.007,0.00063
Juárez,J. Gónzalez,0.1,0.038,0.0038
Pachuca,G. Cabral,0.08,0.047,0.00376
Monterrey,T. Leone,0.07,0.0,0.0
Club América,M. Vázquez,0.08,0.002,0.00016
Pumas UNAM,A. Ramsey,0.08,0.105,0.0084
Mazatlán,Á. Saavedra,0.1,0.008,0.0008
Pumas UNAM,S. López,0.08,0.006,0.00048
Querétaro,M. Carcelén,0.12,0.08,0.0096
Querétaro,S. Hernández,0.12,0.015,0.0018
Atlético San Luis,L. Nájera,0.1,0.0,0.0
Toluca,M. Isaís,0.07,0.038,0.00266
Pumas UNAM,J. Macías,0.08,0.047,0.00376
Atlas,J. San Martín,0.1,0.0,0.0
Puebla,C. Baltazar,0.09,0.039,0.0035099999999999997
Toluca,F. Arce,0.07,0.022,0.0015400000000000001
Monterrey,A. Martial,0.06,0.097,0.00582
Mazatlán,S. Godínez,0.09,0.008,0.0007199999999999999
Pachuca,Alemão,0.07,0.0,0.0
Toluca,V. Arteaga,0.07,0.002,0.00014000000000000001
León,D. Arcila,0.08,0.037,0.00296
Necaxa,R. Cortéz,0.07,0.007,0.0004900000000000001
Pumas UNAM,Á. Rico,0.07,0.006,0.00042000000000000007
Necaxa,R. Sandoval,0.07,0.0,0.0
Juárez,D. Ochoa,0.07,0.011,0.0007700000000000001
Mazatlán,C. Castro,0.08,0.008,0.00064
Tijuana,M. Ortega,0.08,0.0,0.0
Atlético San Luis,C. López,0.08,0.013,0.00104
Cruz Azul,A. Gudiño,0.06,0.01,0.0006
Atlas,A. Sánchez,0.08,0.003,0.00024
Pumas UNAM,R. Parra,0.06,0.005,0.0003
Pachuca,S. Hernández,0.06,0.006,0.00035999999999999997
Santos Laguna,R. Prieto,0.08,0.005,0.0004
Santos Laguna,T. Jiménez,0.08,0.0,0.0
León,C. Cisneros,0.06,0.051,0.00306
Tijuana,J. Fernández,0.07,0.013,0.00091
Puebla,W. Portales,0.07,0.005,0.00035000000000000005
Querétaro,A. de María y Campos,0.08,0.0,0.0
Pachuca,A. Hurtado,0.05,0.0,0.0
Puebla,B. Garnica,0.06,0.096,0.0057599999999999995
León,Ó. Villa,0.06,0.022,0.0013199999999999998
Querétaro,E. Partida,0.07,0.017,0.0011900000000000003
Pachuca,William Carvalho,0.05,0.082,0.0041
Querétaro,Carlo Adriano,0.07,0.017,0.0011900000000000003
Guadalajara,I. Brizuela,0.05,0.018,0.0009
Puebla,D. Paz,0.06,0.0,0.0
Atlas,J. Serrato,0.06,0.0,0.0
Toluca,S. Aceves,0.04,0.0,0.0
Toluca,O. Virgen,0.04,0.002,8e-05
Querétaro,M. Coronel,0.07,0.0,0.0
Cruz Azul,C. Jiménez,0.04,0.002,8e-05
Monterrey,J. Moxica,0.04,0.0,0.0
Tigres UANL,D. Sánchez,0.04,0.049,0.00196
Santos Laguna,F. Fagúndez,0.06,0.027,0.00162
Pumas UNAM,U. Rivas,0.04,0.029,0.00116
Atlético San Luis,J. Marchand,0.05,0.022,0.0011
Juárez,E. López,0.05,0.0,0.0
Atlético San Luis,D. Guillén,0.05,0.011,0.00055
Club América,N. Araújo,0.04,0.028,0.0011200000000000001
Necaxa,A. Montes,0.04,0.0,0.0
Juárez,D. Valoyes,0.04,0.054,0.00216
Tijuana,J. Reyes,0.05,0.013,0.00065
Pachuca,I. Luna,0.03,0.002,6e-05
Atlas,J. Guzmán,0.04,0.0,0.0
Puebla,S. Olmedo,0.04,0.0,0.0
Cruz Azul,J. Rodarte,0.03,0.0,0.0
Atlas,C. Robles,0.04,0.052,0.00208
Mazatlán,A. Alcaráz,0.04,0.022,0.0008799999999999999
Atlas,C. Ramos,0.04,0.005,0.0002
Guadalajara,E. García,0.03,0.007,0.00021
Santos Laguna,H. Holguín,0.04,0.002,8e-05
Mazatlán,R. Rodríguez,0.04,0.023,0.00092
Pumas UNAM,J. Flores,0.03,0.0,0.0
Pumas UNAM,M. Paul,0.03,0.0,0.0
Puebla,Á. de la Rosa,0.04,0.0,0.0
Atlético San Luis,J. Murillo,0.04,0.0,0.0
Santos Laguna,G. Muñoz,0.03,0.0,0.0
Querétaro,F. Valenzuela,0.03,0.042,0.00126
Tijuana,L. Vargas,0.03,0.0,0.0
Atlas,I. Domínguez,0.03,0.0,0.0
Tijuana,F. Contreras,0.03,0.005,0.00015
Monterrey,M. Rodríguez,0.02,0.008,0.00016
Toluca,A. Álvarez,0.02,0.012,0.00024
León,P. Medina,0.02,0.011,0.00021999999999999998
Tigres UANL,O. Rodríguez,0.02,0.035,0.0007000000000000001
Tijuana,E. Bullaude,0.02,0.142,0.0028399999999999996
Cruz Azul,K. Velázquez,0.02,0.0,0.0
Atlético San Luis,C. Mares,0.02,0.0,0.0
Pumas UNAM,R. Galindo,0.02,0.0,0.0
Cruz Azul,M. Levy,0.02,0.0,0.0
Cruz Azul,B. Gamboa,0.02,0.002,4e-05
Pumas UNAM,S. Venegas,0.02,0.0,0.0
Puebla,J. Cortés,0.02,0.0,0.0
Tijuana,J. González,0.02,0.0,0.0
Querétaro,B. Rubio,0.02,0.0,0.0
Puebla,Á. Araos,0.02,0.032,0.00064
Pachuca,J. Brígido,0.01,0.0,0.0
Juárez,L. Silva,0.02,0.0,0.0
Tijuana,F. Madrigal,0.01,0.0,0.0
Puebla,Á. Robles,0.01,0.002,2e-05
Pumas UNAM,E. Villaseñor,0.01,0.0,0.0
Querétaro,L. Gutiérrez,0.02,0.013,0.00026
Tijuana,A. Valenzuela,0.01,0.0,0.0
Juárez,S. Abdullahi,0.01,0.0,0.0
Mazatlán,R. Camacho,0.01,0.0,0.0
Atlético San Luis,F. Barajas,0.01,0.036,0.00035999999999999997
Monterrey,L. Basulto,0.01,0.0,0.0
Puebla,L. Cavallini,0.01,0.071,0.0007099999999999999
Cruz Azul,C. Vargas,0.01,0.007,7.000000000000001e-05
Atlético San Luis,J. Villal,0.01,0.009,8.999999999999999e-05
Club América,D. Arriaga,0.01,0.0,0.0
Club América,R. Sánchez,0.01,0.088,0.0008799999999999999
Juárez,A. Méndez,0.01,0.0,0.0
Atlético San Luis,J. González,0.01,0.035,0.00035000000000000005
Santos Laguna,P. Aquino,0.01,0.0,0.0
Querétaro,B. El-mesmari,0.01,0.018,0.00017999999999999998
Pumas UNAM,M. Torres,0.01,0.0,0.0
Tigres UANL,F. Ordóñez,0.01,0.004,4e-05
Monterrey,F. Valenzuela,0.01,0.0,0.0
Cruz Azul,A. García,0.01,0.005,5e-05
Santos Laguna,R. Rubio,0.01,0.0,0.0
Puebla,M. González,0.01,0.08,0.0008
Juárez,D. Martínez,0.01,0.043,0.00043
Necaxa,D. Gómez,0.01,0.009,8.999999999999999e-05
Juárez,J. Álvarez,0.01,0.0,0.0
Atlético San Luis,João Lourenço,0.01,0.0,0.0
Tijuana,Jesús Corona,0.01,0.039,0.00039
