player_id,player_name,team_name,matches,minutes,primary_position,primary_position_share,Score_BoxToBox,Score_Desequilibrio,Score_Organizacion,Score_ContencionPresion,Score_Overall,Flag_BoxToBox,Flag_Desequilibrio,Flag_Organizacion,Flag_ContencionPresion,Flags
28815,AgustÃ­n Palavecino,Necaxa,16.0,1486.0,Left Center Midfield,0.2631224764468372,74.92592592592592,62.77777777777778,82.88888888888887,77.24279835390946,73.73559670781891,True,True,True,True,Box to Box | Desequilibrantes | Organizadores | Contención/Presión
28517,VÃ­ctor Alfonso GuzmÃ¡n GuzmÃ¡n,Pachuca,7.0,545.0,Center Attacking Midfield,1.0,74.00000000000001,64.44444444444444,75.62962962962962,70.69958847736625,70.88065843621399,True,True,True,True,Box to Box | Desequilibrantes | Organizadores | Contención/Presión
23736,EfraÃ­n Ãlvarez,Guadalajara,16.0,1098.0,Left Attacking Midfield,0.3533697632058288,55.03703703703704,64.07407407407408,84.77777777777779,44.11522633744856,62.998971193415635,False,True,True,False,Desequilibrantes | Organizadores
41268,Luka Romero Bezzana,Cruz Azul,9.0,656.0,Left Attacking Midfield,0.3689024390243902,80.88888888888889,58.33333333333333,36.11111111111111,80.53497942386831,62.85699588477365,True,False,False,True,Box to Box | Contención/Presión
12021,Ãliver Torres MuÃ±oz,Monterrey,18.0,1593.0,Right Center Midfield,0.3057124921531701,47.33333333333333,65.55555555555556,84.22222222222223,49.62962962962962,62.48148148148148,False,True,True,False,Desequilibrantes | Organizadores
26332,Luis Enrique QuiÃ±Ã³nes,Pachuca,16.0,1369.0,Center Attacking Midfield,0.5719503287070855,64.44444444444446,60.74074074074074,56.77777777777777,62.96296296296297,61.120370370370374,True,False,False,False,Box to Box
26375,Roberto Carlos Alvarado HernÃ¡ndez,Guadalajara,11.0,885.0,Right Attacking Midfield,0.480225988700565,66.44444444444444,70.0,58.37037037037038,43.16872427983539,60.83744855967079,True,True,False,False,Box to Box | Desequilibrantes
5695,James David RodrÃ­guez Rubio,LeÃ³n,10.0,891.0,Center Attacking Midfield,0.5443322109988776,51.77777777777777,73.33333333333334,78.96296296296298,25.967078189300413,59.878600823045275,False,True,True,False,Desequilibrantes | Organizadores
27567,Mateo Ezequiel GarcÃ­a,Atlas,7.0,524.0,Left Attacking Midfield,0.6030534351145038,70.85185185185185,51.11111111111111,37.666666666666664,87.03703703703704,59.87037037037037,True,False,False,True,Box to Box | Contención/Presión
182089,SebastiÃ¡n PÃ©rez Bouquet PÃ©rez,AtlÃ©tico San Luis,9.0,645.0,Center Attacking Midfield,0.9302325581395348,60.74074074074074,45.925925925925924,65.37037037037037,62.098765432098766,57.72530864197531,False,False,True,False,Organizadores
406131,Owen de JesÃºs GonzÃ¡lez Ojeda,Puebla,8.0,564.0,Left Attacking Midfield,0.2854609929078014,52.37037037037037,74.62962962962962,61.296296296296305,27.942386831275723,56.394032921810705,False,True,False,False,Desequilibrantes
391381,Miguel RamÃ­rez PÃ©rez,Puebla,7.0,517.0,Left Center Midfield,0.2843326885880077,59.37037037037036,49.81481481481482,48.592592592592595,69.09465020576133,55.75411522633745,False,False,False,True,Contención/Presión
27356,NicolÃ¡s Benedetti Roa,MazatlÃ¡n,13.0,1071.0,Right Center Midfield,0.2670401493930905,44.33333333333333,59.25925925925925,65.96296296296296,44.52674897119341,54.25720164609053,False,False,True,False,Organizadores
132471,Ricardo Jorge Oliveira AntÃ³nio,JuÃ¡rez,7.0,488.0,Left Attacking Midfield,0.2930327868852459,69.96296296296298,31.48148148148148,40.592592592592595,80.2880658436214,53.14094650205762,True,False,False,True,Box to Box | Contención/Presión
47345,Adalberto EliÃ©cer Carrasquilla AlcÃ¡zar,Pumas UNAM,14.0,1221.0,Center Attacking Midfield,0.4668304668304668,43.85185185185185,53.70370370370371,51.7037037037037,40.16460905349794,48.03292181069959,False,False,False,False,Balanceados
6377,Ãngel MartÃ­n Correa,Tigres UANL,22.0,2116.0,Center Attacking Midfield,0.3827977315689981,47.37037037037037,53.7037037037037,39.407407407407405,47.77777777777778,47.361111111111114,False,False,False,False,Balanceados
32022,JosÃ© Antonio Paradela,Cruz Azul,20.0,1645.0,Right Attacking Midfield,0.6419452887537994,56.666666666666664,35.18518518518518,39.18518518518518,64.05349794238684,47.32921810699589,False,False,False,False,Balanceados
28802,Kevin CastaÃ±eda Vargas,Tijuana,18.0,1434.0,Center Attacking Midfield,0.3863319386331938,26.4074074074074,61.29629629629629,63.62962962962962,24.89711934156378,45.877572016460896,False,False,False,False,Balanceados
28538,JosÃ© Ignacio Rivero Segade,Cruz Azul,12.0,997.0,Left Attacking Midfield,0.3921765295887663,53.22222222222222,61.66666666666667,22.85185185185185,40.39094650205761,45.59670781893004,False,False,False,False,Balanceados
483481,Santiago Sandoval GonzÃ¡lez,Guadalajara,11.0,794.0,Center Attacking Midfield,0.3387909319899244,62.03703703703703,29.444444444444443,20.703703703703702,74.52674897119341,44.42386831275719,False,False,False,True,Contención/Presión
26361,Jordan Steeven Sierra Flores,MazatlÃ¡n,13.0,1174.0,Left Center Midfield,0.3781942078364566,27.7037037037037,46.666666666666664,50.66666666666667,41.97530864197531,41.98765432098766,False,False,False,False,Balanceados
26273,Rodolfo Gilbert Pizarro Thomas,JuÃ¡rez,17.0,1435.0,Center Attacking Midfield,0.5442508710801394,52.81481481481482,44.44444444444445,29.74074074074074,38.230452674897116,41.61831275720164,False,False,False,False,Balanceados
30457,Fernando BeltrÃ¡n Cruz,LeÃ³n,15.0,1238.0,Center Attacking Midfield,0.4507269789983845,38.37037037037036,29.629629629629626,47.62962962962963,46.62551440329218,39.71399176954732,False,False,False,False,Balanceados
23849,Francisco JosÃ© Villalba Rodrigo,Santos Laguna,14.0,972.0,Left Center Midfield,0.4351851851851852,29.851851851851855,46.48148148148148,46.22222222222223,30.082304526748967,38.97942386831276,False,False,False,False,Balanceados
37591,Aldo LÃ³pez Vargas,Santos Laguna,13.0,1143.0,Right Center Midfield,0.5905511811023622,29.592592592592588,40.18518518518518,45.55555555555556,40.123456790123456,38.867283950617285,False,False,False,False,Balanceados
46679,Rodrigo Manuel BogarÃ­n GimÃ©nez,QuerÃ©taro,14.0,1213.0,Right Center Midfield,0.5086562242374278,29.444444444444443,40.370370370370374,27.074074074074073,43.621399176954725,34.965020576131685,False,False,False,False,Balanceados
184501,Eduardo Alonso Armenta Palma,QuerÃ©taro,11.0,853.0,Left Center Midfield,0.5392731535756154,30.185185185185183,25.740740740740737,38.407407407407405,42.222222222222214,33.31481481481481,False,False,False,False,Balanceados
